district,four_room,image,multiroom,name,one_room,room_types,studio,three_room,two_room
Марушкинское,12556000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/61f7f0b0a5102.jpg,-1,ЖК «Новое Внуково»,6690000,"studio,one_room,two_room,three_room,four_room",5410000,9463000,7079000
Сосенское,12708000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5c989ba0888e3.jpg,-1,ЖК «ЭкоБунино»,6197000,"studio,one_room,two_room,three_room,four_room",5432000,8980000,6319000
Солнечногорский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5f3c6a3f7f2b3.jpg,-1,ЖК «Лесная Отрада»,5500000,"studio,one_room,two_room,three_room",5100000,12350000,8000000
Обручевский,25709000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/wm_6119986456321.jpg,34428000,ЖК «EVER»,12860000,"studio,one_room,two_room,three_room,four_room,multiroom",13576000,19755000,15347000
Басманный,130474000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5a81b0fb7ed7c.png,169000000,МФК «RED7»,-1,"studio,two_room,three_room,four_room,multiroom",25690000,51758000,38159000
Крюково,-1,https://st.novostroy.ru/regions/u/b/g/box_orig/55dc47752c263.jpg,-1,ЖК «Андреевка»,3691000,"one_room,two_room,three_room",-1,8434000,7857000
Одинцовский,6850000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5cf65cfa265d2.jpg,-1,МЖК «Троицкая слобода»,3904000,"one_room,two_room,three_room,four_room",-1,5954000,5542000
Щукино,31827000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6287a4fe07f3e.jpg,-1,ЖК «Вереск»,14147000,"studio,one_room,two_room,three_room,four_room",10644000,22084000,16359000
Хорошёво-Мнёвники,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/609cf5de750e1.jpg,-1,МФК «Мята»,12085000,"studio,one_room,two_room,three_room",8909000,18988000,12122000
Метрогородок,33666500,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5fd21a2cd8c8e.png,-1,ЖК «Талисман на Рокоссовского»,8350800,"one_room,two_room,three_room,four_room",-1,18828700,13117600
Люберецкий,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/61683c4ec2dd9.jpg,-1,ЖК «Егорово Парк»,5238000,"studio,one_room,two_room,three_room",4702000,10257000,6990000
Можайский,35800900,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5c66fb21b6c8e.jpg,-1,ЖК «КутузовGRAD II»,18647300,"studio,one_room,two_room,three_room,four_room",15571600,28447600,16363900
Южное Бутово,14487000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5d5d54cb33031.jpg,25613000,ЖК «Скандинавия»,8929000,"studio,one_room,two_room,three_room,four_room,multiroom",6248000,12842000,9528000
Московский,24425000,https://st.novostroy.ru/regions/u/b/g/box_orig/5d920569359da.jpg,-1,ЖК «Румянцево–Парк»,10440000,"one_room,two_room,three_room,four_room",-1,19475000,13575000
Даниловский,73075000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6194fbdb9dc0e.jpg,85865000,ЖК «Forst»,15758000,"studio,one_room,two_room,three_room,four_room,multiroom",13015000,27478000,19352000
Филёвский Парк,35731000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5f75d3119924d.jpg,-1,ЖК «Level Причальный»,13683000,"one_room,two_room,three_room,four_room",-1,28164000,20350000
Хорошёвский,36936000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5ef5e7419e5c0.jpg,-1,ЖК «Авиатика»,17487000,"one_room,two_room,three_room,four_room",-1,31070000,23987000
Мытищинский,14964000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/634fd28b00686.jpg,-1,ЖК «Долина Яузы»,7202000,"studio,one_room,two_room,three_room,four_room",7359000,12853000,8450000
Ростокино,55323000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/62bd91072bc36.png,-1,ЖК «Союз»,19990000,"one_room,two_room,three_room,four_room",-1,36350000,26524000
Хорошёво-Мнёвники,27451000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/601a5f0071c78.jpg,-1,ЖК «Wellton Towers»,12215000,"one_room,two_room,three_room,four_room",-1,21315000,16934000
